soru,cevap
Radyoloji nerede?,"Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Film çektirmeye nereye gitmeliyim?,"Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Röntgen odası nerede?,"Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Görüntüleme merkezi hangi katta?,Radyoloji birimi -1. kattadır.
Kan alma birimi nerede?,Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Kan vermek için nereye gitmeliyim?,Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Kan testi nerede yapılıyor?,Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Dahiliye polikliniği nerede?,"Dahiliye 2. kattadır, asansörden çıkınca sağa dönün."
Dahiliye servisine nasıl ulaşırım?,"Dahiliye 2. kattadır, asansörden çıkınca sağa dönün."
İç hastalıkları polikliniği nerede?,"Dahiliye 2. kattadır, iç hastalıklarıyla aynı bölgededir."
Tuvalet nerede?,"Her katta tuvalet mevcuttur, yönlendirme tabelalarını takip edebilirsiniz."
Lavabolar hangi yönde?,"Her katta tuvalet ve lavabo bulunmaktadır, tabelaları izleyin."
WC hangi katta?,"Tuvaletler her katta yer alır, danışmadan da yardım alabilirsiniz."
Acil servis nerede?,"Acil servis hastane girişinin sağ tarafındadır, kırmızı tabelaları takip edin."
Acil giriş nerededir?,"Acil giriş binanın sağında, özel otopark yanındadır."
Acil servise nasıl ulaşırım?,"Acil servis giriş katındadır, kırmızı renkli yönlendirmeleri takip edin."
Laboratuvar nerede?,"Laboratuvar -1. kattadır, kan alma biriminin yanında yer alır."
Tahlil için nereye gitmeliyim?,"Laboratuvar -1. kattadır, kan alma biriminin yanındadır."
Laboratuvar hangi katta bulunuyor?,Laboratuvar -1. katta yer alır.
Kadın doğum servisi nerede?,"Kadın doğum servisi 3. kattadır, doğumhane ile aynı koridordadır."
Doğumhane hangi katta?,"Doğumhane 3. kattadır, kadın doğum servisiyle aynı yerdedir."
Kadın hastalıkları bölümü nerede?,Kadın hastalıkları servisi 3. kattadır.
Danışma masası nerede?,Danışma masası ana girişin tam karşısındadır.
Bilgi almak için nereye gitmeliyim?,Danışma masası ana girişin tam karşısındadır.
Danışma nerede bulunur?,Danışma masası ana girişin tam karşısındadır.
MR için nereye gitmeliyim?,"MR cihazı radyoloji bölümünde, -1. katta yer alır."
Manyetik rezonans bölümü nerede?,"MR odası radyoloji servisinde, -1. kattadır."
"MR çektireceğim, hangi kattayım?","MR için -1. kata inmelisiniz, radyoloji bölümüne yönelin."
Eczane nerede?,Hastane eczanesi girişin sol tarafında yer alır.
İlaçlarımı nereden alabilirim?,"Eczane girişin solunda, bankoların hemen arkasındadır."
Hastane içindeki eczane nerededir?,"Eczane giriş katında, sol koridordadır."
Sigorta birimi nerede?,Sigorta işlemleri için 1. kattaki kayıt birimine gitmelisiniz.
Özel sigorta işlemleri nerede yapılıyor?,"Sigorta birimi 1. kattadır, kayıt alanının hemen yanındadır."
SGK işlemleri için nereye gitmeliyim?,"Sigorta birimi 1. kattadır, danışma yönlendirebilir."
Check-up bölümü nerede?,"Check-up birimi 2. kattadır, dahiliye polikliniğinin yanındadır."
"Check-up yaptırmak istiyorum, nereye gideceğim?","Check-up bölümü 2. kattadır, danışmadan yönlendirme alabilirsiniz."
Genel kontrol birimi nerede?,"Check-up birimi 2. kattadır, iç hastalıkları bölümüne yakındır."
Yatak odası nerede?,"Yatak odası, 4. kattadır, yoğun bakımın yanındadır."
Fiziksel terapi saat kaçta başlıyor?,"Fiziksel terapi seansları 08:00'de başlar, randevularınızı 2. kattan alabilirsiniz."
Çocuk doktoru ne zaman çalışıyor?,Çocuk doktorları hafta içi 09:00-17:00 saatleri arasında çalışmaktadır.
Yatan hasta odası nerede?,"Yatan hasta odaları 4. kattadır, hemşireler odaları yönlendirebilir."
Kan alma işlemi için randevu almam gerekiyor mu?,"Kan alma işlemi için randevu almanıza gerek yoktur, ancak yoğun saatlerde bekleme süresi olabilir."
MR çekimi nasıl yapılır?,"MR çekimi yapılmadan önce hasta, MR odasına yönlendirilir ve uygun pozisyona yerleştirilir."
Acil servise nasıl başvurabilirim?,"Acil servise başvurmak için acil girişinden girmeniz gerekmektedir, kırmızı tabelaları takip edebilirsiniz."
Kanser tedavisi için hangi birime başvurmalıyım?,"Kanser tedavisi için onkoloji servisine başvurabilirsiniz, 3. kattadır."
Gebelik testi nerede yapılır?,"Gebelik testi, kadın doğum biriminde yapılmaktadır, 3. kattadır."
Yoğun bakım ünitesi nerede?,"Yoğun bakım ünitesi 4. kattadır, acil servisin hemen yanındadır."
Covid-19 testi nerede yapılır?,"Covid-19 testi hastane girişinde, özel test alanında yapılmaktadır."
Test sonuçlarını nasıl alabilirim?,"Test sonuçlarınızı, laboratuvar biriminden veya ilgili poliklinikten alabilirsiniz."
Doktorum hangi gün çalışıyor?,Doktorunuzun çalışma günü bilgisi için randevu merkezi veya danışma masasına başvurabilirsiniz.
MR ne kadar sürer?,"MR çekimi genellikle 20-30 dakika arasında sürer, ancak bazı durumlarda bu süre değişebilir."
Fiziksel terapi seansları ne kadar sürer?,Fiziksel terapi seansları genellikle 30-60 dakika arasında değişmektedir.
Sigorta işlemleri nerede yapılır?,Sigorta işlemleri için 1. kattaki kayıt birimine gitmelisiniz.
Çocuk polikliniği hangi katta?,Çocuk polikliniği 2. kattadır.
Röntgen ücretleri ne kadar?,"Röntgen ücretleri, sağlık sigortası durumunuza göre değişir, danışma masası veya sigorta biriminden bilgi alabilirsiniz."
Kadın doğum servisi hangi katta?,"Kadın doğum servisi 3. kattadır, doğumhane ile aynı koridordadır."
Radyoloji bölümü nerede yer alıyor?","Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Görüntüleme için nereye gitmeliyim?","Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Film çektirmek için hangi kata gitmeliyim?","Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Kan tahlili için hangi odaya gitmeliyim?",Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Kan örneği nerede verilir?",Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
105 numaralı oda ne amaçla kullanılıyor?",Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Radyoloji nerede?,"Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Film çektirmeye nereye gitmeliyim?,"Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Röntgen odası nerede?,"Radyoloji birimi -1. katta, danışma masasının sağ çaprazındadır."
Görüntüleme merkezi hangi katta?,Radyoloji birimi -1. kattadır.
Kan alma birimi nerede?,Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Kan vermek için nereye gitmeliyim?,Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Kan testi nerede yapılıyor?,Kan alma birimi girişin hemen solundaki 105 numaralı odadadır.
Dahiliye polikliniği nerede?,"Dahiliye 2. kattadır, asansörden çıkınca sağa dönün."
Dahiliye servisine nasıl ulaşırım?,"Dahiliye 2. kattadır, asansörden çıkınca sağa dönün."
İç hastalıkları polikliniği nerede?,"Dahiliye 2. kattadır, iç hastalıklarıyla aynı bölgededir."
Tuvalet nerede?,"Her katta tuvalet mevcuttur, yönlendirme tabelalarını takip edebilirsiniz."
Lavabolar hangi yönde?,"Her katta tuvalet ve lavabo bulunmaktadır, tabelaları izleyin."
WC hangi katta?,"Tuvaletler her katta yer alır, danışmadan da yardım alabilirsiniz."
Acil servis nerede?,"Acil servis hastane girişinin sağ tarafındadır, kırmızı tabelaları takip edin."
Acil giriş nerededir?,"Acil giriş binanın sağında, özel otopark yanındadır."
Acil servise nasıl ulaşırım?,"Acil servis giriş katındadır, kırmızı renkli yönlendirmeleri takip edin."
Laboratuvar nerede?,"Laboratuvar -1. kattadır, kan alma biriminin yanında yer alır."
Tahlil için nereye gitmeliyim?,"Laboratuvar -1. kattadır, kan alma biriminin yanındadır."
Laboratuvar hangi katta bulunuyor?,Laboratuvar -1. katta yer alır.
Kadın doğum servisi nerede?,"Kadın doğum servisi 3. kattadır, doğumhane ile aynı koridordadır."
Doğumhane hangi katta?,"Doğumhane 3. kattadır, kadın doğum servisiyle aynı yerdedir."
Kadın hastalıkları bölümü nerede?,Kadın hastalıkları servisi 3. kattadır.
Danışma masası nerede?,Danışma masası ana girişin tam karşısındadır.
Bilgi almak için nereye gitmeliyim?,Danışma masası ana girişin tam karşısındadır.
Danışma nerede bulunur?,Danışma masası ana girişin tam karşısındadır.
MR için nereye gitmeliyim?,"MR cihazı radyoloji bölümünde, -1. katta yer alır."
Manyetik rezonans bölümü nerede?,"MR odası radyoloji servisinde, -1. kattadır."
"MR çektireceğim, hangi kattayım?","MR için -1. kata inmelisiniz, radyoloji bölümüne yönelin."
Eczane nerede?,Hastane eczanesi girişin sol tarafında yer alır.
İlaçlarımı nereden alabilirim?,"Eczane girişin solunda, bankoların hemen arkasındadır."
Hastane içindeki eczane nerededir?,"Eczane giriş katında, sol koridordadır."
Sigorta birimi nerede?,Sigorta işlemleri için 1. kattaki kayıt birimine gitmelisiniz.
Özel sigorta işlemleri nerede yapılıyor?,"Sigorta birimi 1. kattadır, kayıt alanının hemen yanındadır."
SGK işlemleri için nereye gitmeliyim?,"Sigorta birimi 1. kattadır, danışma yönlendirebilir."
Check-up bölümü nerede?,"Check-up birimi 2. kattadır dahiliye polikliniğinin yanındadır."
"Check-up yaptırmak istiyorum","nereye gideceğim?,""Check-up bölümü 2. kattadır, danışmadan yönlendirme alabilirsiniz."
"Genel kontrol birimi nerede?","Check-up birimi 2. kattadır, iç hastalıkları bölümüne yakındır."
"Yatak odası nerede?","Yatak odası, 4. kattadır, yoğun bakımın yanındadır."
"Fiziksel terapi saat kaçta başlıyor?","Fiziksel terapi seansları 08:00'de başlar, randevularınızı 2. kattan alabilirsiniz."
"Çocuk doktoru ne zaman çalışıyor?","Çocuk doktorları hafta içi 09:00-17:00 saatleri arasında çalışmaktadır."
"Yatan hasta odası nerede?","Yatan hasta odaları 4. kattadır, hemşireler odaları yönlendirebilir."
"Kan alma işlemi için randevu almam gerekiyor mu?","Kan alma işlemi için randevu almanıza gerek yoktur, ancak yoğun saatlerde bekleme süresi olabilir."
"MR çekimi nasıl yapılır?","MR çekimi yapılmadan önce hasta, MR odasına yönlendirilir ve uygun pozisyona yerleştirilir."
"Acil servise nasıl başvurabilirim?","Acil servise başvurmak için acil girişinden girmeniz gerekmektedir, kırmızı tabelaları takip edebilirsiniz."
"Kanser tedavisi için hangi birime başvurmalıyım?","Kanser tedavisi için onkoloji servisine başvurabilirsiniz, 3. kattadır."
"Gebelik testi nerede yapılır?","Gebelik testi, kadın doğum biriminde yapılmaktadır, 3. kattadır."
"Yoğun bakım ünitesi nerede?","Yoğun bakım ünitesi 4. kattadır, acil servisin hemen yanındadır."
"Covid-19 testi nerede yapılır?","Covid-19 testi hastane girişinde, özel test alanında yapılmaktadır."
"Test sonuçlarını nasıl alabilirim?","Test sonuçlarınızı, laboratuvar biriminden veya ilgili poliklinikten alabilirsiniz."
"Doktorum hangi gün çalışıyor?","Doktorunuzun çalışma günü bilgisi için randevu merkezi veya danışma masasına başvurabilirsiniz."
"MR ne kadar sürer?","MR çekimi genellikle 20-30 dakika arasında sürer, ancak bazı durumlarda bu süre değişebilir."
"Fiziksel terapi seansları ne kadar sürer?","Fiziksel terapi seansları genellikle 30-60 dakika arasında değişmektedir."
"Sigorta işlemleri nerede yapılır?","Sigorta işlemleri için 1. kattaki kayıt birimine gitmelisiniz."
"Çocuk polikliniği hangi katta?","Çocuk polikliniği 2. kattadır."
"Röntgen ücretleri ne kadar?","Röntgen ücretleri, sağlık sigortası durumunuza göre değişir, danışma masası veya sigorta biriminden bilgi alabilirsiniz."
"Kadın doğum servisi hangi katta?","Kadın doğum servisi 3. kattadır, doğumhane ile aynı koridordadır."
"Diyetisyen kilo vermeme nasıl yardımcı olur?","Diyetisyen, size özel bir beslenme programı hazırlayarak hedeflerinize ulaşmanızı sağlar."
"Diyetisyen randevusu nasıl alabilirim?","Gitmek istediğiniz sağlık merkezini arayarak ya da online randevu sistemi üzerinden kolayca alabilirsiniz."
"İlk diyetisyen görüşmesinde neler oluyor?","İlk görüşmede beslenme alışkanlıklarınız, sağlık geçmişiniz ve hedefleriniz değerlendirilir."
"Haftada kaç kilo vermek sağlıklıdır?","Haftada 0.5 ile 1 kilo arasında vermek genellikle sağlıklı kabul edilir."
"Diyetisyen sadece zayıflamak isteyenlere mi hizmet veriyor?","Hayır, kilo alma, hastalık durumlarında beslenme düzeni, sporcu beslenmesi gibi birçok konuda destek verir."
"Online diyetisyen hizmeti alabilir miyim?","Özel kliniklerde ücretlidir; ancak bazı devlet hastanelerinde SGK kapsamında ücretsiz olabilir."
"Diyetisyen görüşmeleri ücretli mi?","Evet, diyetisyen görüşmeleri genellikle ücretlidir. Devlet hastanelerinde SGK kapsamında ücretsiz olabilir."
"Diyetisyen kan tahlili ister mi?","Evet, bazen sağlıklı bir diyet planı için kan tahlili gerekebilir."
"Hangi durumlarda diyetisyene gitmek gerekir?","Kilo alma/verme, diyabet, hipertansiyon, sindirim sorunları, yeme bozuklukları gibi durumlarda gidilmesi önerilir."
